,Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%
32,620,Quinn Hughes,VAN,D,98.73015873015873,98.4126984126984,99.04761904761905,47.93650793650794
39,297,Josh Morrissey,WPG,D,99.36507936507937,96.19047619047619,97.14285714285714,62.53968253968254
43,61,Roman Josi,NSH,D,100.0,100.0,98.73015873015873,65.71428571428571
51,409,Zach Werenski,CBJ,D,99.68253968253968,99.04761904761905,96.5079365079365,90.15873015873017
52,573,Cale Makar,COL,D,80.63492063492063,99.68253968253968,66.34920634920634,58.0952380952381
57,353,Devon Toews,COL,D,83.80952380952381,97.46031746031746,87.61904761904762,25.396825396825395
70,78,Victor Hedman,T.B,D,98.4126984126984,98.09523809523809,93.65079365079364,86.98412698412699
71,94,Mattias Ekholm,EDM,D,97.77777777777777,99.36507936507937,99.68253968253968,34.285714285714285
78,623,Evan Bouchard,EDM,D,97.46031746031746,97.77777777777777,100.0,31.428571428571427
81,19,Kris Letang,PIT,D,88.25396825396825,94.6031746031746,64.76190476190476,84.44444444444444
88,644,Noah Dobson,NYI,D,95.23809523809523,94.92063492063491,83.4920634920635,60.63492063492063
117,502,Filip Hronek,VAN,D,94.28571428571428,69.84126984126983,81.58730158730158,81.9047619047619
119,724,Thomas Harley,DAL,D,93.01587301587301,95.55555555555556,90.15873015873017,35.23809523809524
124,327,Travis Sanheim,PHI,D,50.476190476190474,89.84126984126985,44.761904761904766,50.476190476190474
128,460,Adam Fox,NYR,D,90.47619047619048,92.6984126984127,96.82539682539682,17.142857142857142
131,58,Erik Karlsson,PIT,D,95.87301587301587,93.33333333333333,98.09523809523809,42.857142857142854
135,153,Dylan DeMelo,WPG,D,85.39682539682539,44.44444444444444,84.12698412698413,75.87301587301587
137,193,Morgan Rielly,TOR,D,88.57142857142857,91.42857142857143,64.44444444444444,92.6984126984127
138,252,MacKenzie Weegar,CGY,D,92.38095238095238,96.82539682539682,80.31746031746032,64.44444444444444
142,359,Gustav Forsling,FLA,D,97.14285714285714,97.14285714285714,97.77777777777777,44.44444444444444
155,232,Jaccob Slavin,CAR,D,95.55555555555556,86.03174603174604,95.23809523809523,60.317460317460316
159,462,Charlie McAvoy,BOS,D,96.5079365079365,92.38095238095238,80.95238095238095,82.22222222222221
162,635,Rasmus Dahlin,BUF,D,89.20634920634922,91.74603174603175,93.01587301587301,35.87301587301587
170,338,Marcus Pettersson,PIT,D,86.34920634920636,61.58730158730159,92.38095238095238,47.3015873015873
172,375,Noah Hanifin,"CGY, VGK",D,91.11111111111111,92.06349206349206,87.3015873015873,53.333333333333336
188,566,Miro Heiskanen,DAL,D,93.33333333333333,90.15873015873017,96.19047619047619,28.888888888888886
207,790,Brock Faber,MIN,D,72.6984126984127,66.66666666666666,62.857142857142854,79.04761904761905
213,52,Drew Doughty,L.A,D,33.96825396825397,56.507936507936506,53.01587301587302,16.507936507936506
218,198,Brady Skjei,CAR,D,65.39682539682539,95.87301587301587,36.507936507936506,69.52380952380952
221,292,Darnell Nurse,EDM,D,75.87301587301587,94.28571428571428,41.269841269841265,93.33333333333333
227,605,Sean Walker,"COL, PHI",D,98.09523809523809,93.65079365079364,94.92063492063491,78.0952380952381
229,698,Bowen Byram,"BUF, COL",D,72.06349206349206,72.6984126984127,48.888888888888886,93.65079365079364
233,48,Ryan McDonagh,NSH,D,84.76190476190476,57.14285714285714,95.87301587301587,36.19047619047619
234,132,Erik Gudbranson,CBJ,D,16.507936507936506,67.93650793650794,19.047619047619047,50.15873015873016
237,376,Rasmus Andersson,CGY,D,90.15873015873017,86.34920634920636,61.26984126984127,98.4126984126984
238,383,Vince Dunn,SEA,D,86.98412698412699,96.5079365079365,65.07936507936508,66.66666666666666
240,28,Jeff Petry,DET,D,68.88888888888889,70.47619047619048,72.06349206349206,73.33333333333333
242,57,Tyler Myers,VAN,D,63.8095238095238,76.5079365079365,54.6031746031746,71.11111111111111
243,86,Nick Leddy,STL,D,46.666666666666664,32.38095238095238,48.57142857142857,62.857142857142854
244,98,David Savard,MTL,D,78.41269841269842,57.77777777777777,61.58730158730159,99.36507936507937
246,150,Josh Manson,COL,D,86.66666666666667,98.73015873015873,86.98412698412699,21.26984126984127
250,371,Darren Raddysh,T.B,D,84.12698412698413,65.71428571428571,86.34920634920636,51.746031746031754
252,422,Ivan Provorov,CBJ,D,54.285714285714285,59.682539682539684,67.61904761904762,20.317460317460316
253,433,Will Borgen,SEA,D,76.19047619047619,75.23809523809524,57.14285714285714,98.09523809523809
263,839,Owen Power,BUF,D,66.66666666666666,63.8095238095238,66.66666666666666,52.6984126984127
264,60,John Carlson,WSH,D,96.19047619047619,83.80952380952381,84.76190476190476,89.52380952380953
266,88,Brayden McNabb,VGK,D,70.15873015873015,60.0,73.01587301587301,43.80952380952381
271,178,Jonas Brodin,MIN,D,82.22222222222221,85.71428571428571,85.39682539682539,23.49206349206349
272,190,Torey Krug,STL,D,84.44444444444444,84.12698412698413,69.84126984126983,84.12698412698413
274,216,Esa Lindell,DAL,D,62.22222222222222,80.63492063492063,51.746031746031754,69.84126984126983
275,229,Jake McCabe,TOR,D,46.03174603174603,65.07936507936508,42.857142857142854,51.42857142857142
277,272,Shea Theodore,VGK,D,93.96825396825396,95.23809523809523,86.03174603174604,42.53968253968254
281,447,Jalen Chatfield,CAR,D,55.87301587301587,90.7936507936508,63.49206349206349,5.396825396825397
282,470,Jakob Chychrun,OTT,D,73.33333333333333,89.20634920634922,45.714285714285715,88.57142857142857
283,708,Moritz Seider,DET,D,81.9047619047619,79.04761904761905,60.952380952380956,87.3015873015873
284,819,Artem Zub,OTT,D,73.65079365079366,64.12698412698413,88.57142857142857,26.031746031746035
287,66,TJ Brodie,TOR,D,49.523809523809526,18.095238095238095,40.63492063492063,77.77777777777779
289,203,Mike Matheson,MTL,D,51.746031746031754,73.65079365079366,32.698412698412696,72.38095238095238
290,218,Shayne Gostisbehere,DET,D,48.888888888888886,80.31746031746032,64.12698412698413,11.746031746031745
292,442,Vladislav Gavrikov,L.A,D,87.61904761904762,75.87301587301587,76.19047619047619,80.63492063492063
300,92,Dmitry Orlov,CAR,D,32.698412698412696,88.25396825396825,33.96825396825397,14.285714285714285
302,205,Cody Ceci,EDM,D,56.82539682539682,56.19047619047619,27.936507936507937,92.06349206349206
306,368,Jake Middleton,MIN,D,56.507936507936506,67.3015873015873,33.65079365079365,90.7936507936508
309,536,Mario Ferraro,S.J,D,88.88888888888889,69.2063492063492,91.42857142857143,63.17460317460317
313,582,Neal Pionk,WPG,D,53.65079365079365,72.38095238095238,20.952380952380953,81.58730158730158
315,597,Nick Perbix,T.B,D,26.666666666666668,30.158730158730158,50.79365079365079,32.38095238095238
316,627,K'Andre Miller,NYR,D,58.41269841269842,58.41269841269842,47.93650793650794,77.14285714285715
318,655,Michael Kesselring,ARI,D,79.36507936507937,89.52380952380953,81.26984126984127,18.73015873015873
325,107,Brenden Dillon,WPG,D,61.58730158730159,63.49206349206349,38.41269841269842,86.98412698412699
327,235,Erik Gustafsson,NYR,D,75.55555555555556,78.41269841269842,86.66666666666667,20.0
331,445,Matt Roy,L.A,D,91.42857142857143,85.39682539682539,84.44444444444444,64.76190476190476
332,607,Sean Durzi,ARI,D,83.17460317460318,83.4920634920635,78.0952380952381,52.38095238095239
334,663,Alexander Romanov,NYI,D,78.0952380952381,64.44444444444444,59.04761904761905,76.5079365079365
337,772,Kaiden Guhle,MTL,D,48.25396825396825,68.88888888888889,47.61904761904761,45.714285714285715
339,833,J.J. Moser,ARI,D,67.61904761904762,56.82539682539682,61.904761904761905,56.507936507936506
340,54,Alex Pietrangelo,VGK,D,96.82539682539682,87.3015873015873,82.22222222222221,99.04761904761905
341,109,Chris Tanev,"CGY, DAL",D,37.46031746031746,22.22222222222222,70.15873015873015,13.015873015873018
342,119,Justin Faulk,STL,D,92.6984126984127,81.9047619047619,79.36507936507937,89.84126984126985
345,214,Colton Parayko,STL,D,27.3015873015873,73.96825396825398,26.34920634920635,40.95238095238095
346,226,Damon Severson,CBJ,D,80.31746031746032,71.74603174603175,85.07936507936508,48.888888888888886
349,300,Nikita Zadorov,"CGY, VAN",D,32.06349206349206,84.44444444444444,15.873015873015872,49.84126984126984
351,424,John Marino,N.J,D,27.936507936507937,33.65079365079365,36.82539682539683,43.492063492063494
357,767,Braden Schneider,NYR,D,71.74603174603175,77.77777777777779,51.42857142857142,87.61904761904762
359,4,Brent Burns,CAR,D,94.6031746031746,85.07936507936508,90.47619047619048,56.19047619047619
363,82,Oliver Ekman-Larsson,FLA,D,64.76190476190476,82.85714285714286,52.6984126984127,49.523809523809526
365,101,Ben Chiarot,DET,D,59.04761904761905,54.920634920634924,44.44444444444444,86.34920634920636
366,108,Radko Gudas,ANA,D,74.28571428571429,82.53968253968253,83.17460317460318,15.238095238095239
368,162,Mike Reilly,"FLA, NYI",D,87.3015873015873,93.01587301587301,91.11111111111111,29.20634920634921
369,172,Adam Larsson,SEA,D,60.952380952380956,60.63492063492063,50.15873015873016,55.87301587301587
370,202,Olli Maatta,DET,D,35.87301587301587,44.761904761904766,73.65079365079366,2.5396825396825395
371,254,Connor Clifton,BUF,D,38.41269841269842,68.25396825396825,36.19047619047619,53.65079365079365
374,434,Alexandre Carrier,NSH,D,23.809523809523807,59.36507936507937,22.53968253968254,25.71428571428571
377,710,Cam York,PHI,D,20.952380952380953,58.0952380952381,14.603174603174605,53.01587301587302
379,737,Jordan Spence,L.A,D,77.77777777777779,67.61904761904762,66.98412698412697,67.61904761904762
381,1,Ryan Suter,DAL,D,34.6031746031746,40.63492063492063,19.682539682539684,58.41269841269842
384,93,Brian Dumoulin,SEA,D,49.84126984126984,48.57142857142857,74.60317460317461,4.444444444444445
387,194,Hampus Lindholm,BOS,D,55.55555555555556,31.11111111111111,68.57142857142857,20.634920634920633
388,210,Jacob Trouba,NYR,D,57.460317460317455,77.14285714285715,34.92063492063492,82.53968253968253
392,414,Thomas Chabot,OTT,D,93.65079365079364,86.98412698412699,85.71428571428571,76.82539682539684
393,461,Ryan Lindgren,NYR,D,29.20634920634921,40.0,33.33333333333333,36.507936507936506
395,545,Mikey Anderson,L.A,D,14.603174603174605,47.93650793650794,17.46031746031746,17.77777777777778
396,565,Henri Jokiharju,BUF,D,41.904761904761905,33.96825396825397,42.22222222222222,55.23809523809524
397,569,Dylan Samberg,WPG,D,30.793650793650794,51.42857142857142,57.460317460317455,5.714285714285714
398,575,Erik Brannstrom,OTT,D,44.12698412698413,62.857142857142854,65.39682539682539,22.53968253968254
403,782,Jake Sanderson,OTT,D,81.58730158730158,72.06349206349206,92.06349206349206,18.095238095238095
404,841,Luke Hughes,N.J,D,61.26984126984127,53.96825396825397,63.17460317460317,33.65079365079365
405,13,Jack Johnson,COL,D,49.2063492063492,60.317460317460316,25.396825396825395,66.98412698412697
407,62,Justin Schultz,SEA,D,37.142857142857146,84.76190476190476,45.07936507936508,13.968253968253968
409,85,Dmitry Kulikov,FLA,D,44.44444444444444,66.98412698412697,29.20634920634921,59.04761904761905
412,234,Brett Kulak,EDM,D,8.571428571428571,64.76190476190476,9.841269841269842,19.365079365079367
413,289,Seth Jones,CHI,D,64.12698412698413,63.17460317460317,82.53968253968253,6.984126984126984
419,647,Rasmus Sandin,WSH,D,42.22222222222222,37.77777777777778,35.55555555555556,66.03174603174602
