Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
2,Zdeno Chara,BOS,D,36.92307692307693,26.153846153846157,88.92307692307693,21.23076923076923,62,5,9,14,57
6,Ron Hainsey,TOR,D,33.23076923076923,51.69230769230769,64.61538461538461,8.0,81,5,18,23,21
7,Brooks Orpik,WSH,D,39.07692307692307,17.846153846153847,60.0,58.15384615384615,53,2,7,9,32
9,Niklas Kronwall,DET,D,20.307692307692307,10.153846153846153,47.69230769230769,66.76923076923077,79,3,24,27,40
11,Deryk Engelland,VGK,D,28.000000000000004,63.07692307692307,15.076923076923077,12.0,74,2,10,12,18
15,Dan Hamhuis,NSH,D,5.846153846153846,7.076923076923077,2.4615384615384617,62.153846153846146,57,0,5,5,28
20,Trevor Daley,DET,D,12.923076923076923,43.69230769230769,44.92307692307692,2.1538461538461537,44,2,6,8,12
22,Jay Bouwmeester,STL,D,10.76923076923077,20.615384615384617,14.153846153846153,25.846153846153847,78,3,14,17,40
23,Johnny Boychuk,NYI,D,44.92307692307692,66.46153846153847,61.23076923076923,16.923076923076923,74,3,16,19,25
25,Duncan Keith,CHI,D,48.30769230769231,42.15384615384615,77.53846153846153,36.61538461538461,82,6,34,40,70
26,Jonathan Ericsson,DET,D,3.076923076923077,12.0,18.461538461538463,5.538461538461538,52,3,2,5,35
30,Ryan Suter,MIN,D,50.153846153846146,35.69230769230769,96.3076923076923,10.461538461538462,82,7,40,47,41
31,Braydon Coburn,T.B,D,50.76923076923077,60.61538461538461,41.23076923076923,41.23076923076923,74,4,19,23,34
32,Dion Phaneuf,L.A,D,31.384615384615383,15.384615384615385,62.76923076923077,34.15384615384615,67,1,5,6,53
35,Brent Seabrook,CHI,D,32.0,55.07692307692308,52.61538461538462,13.846153846153847,78,5,23,28,41
39,Brent Burns,S.J,D,83.07692307692308,80.61538461538461,94.76923076923077,20.923076923076923,82,16,67,83,34
46,Shea Weber,MTL,D,61.23076923076923,70.46153846153847,59.38461538461538,44.61538461538462,58,14,19,33,28
50,Marc Methot,DAL,D,1.2307692307692308,1.5384615384615385,9.230769230769232,15.692307692307692,9,0,0,0,6
54,Dustin Byfuglien,WPG,D,65.23076923076923,52.61538461538462,47.07692307692308,83.38461538461537,42,4,27,31,69
55,Mark Giordano,CGY,D,85.53846153846155,70.76923076923077,90.46153846153845,62.46153846153846,78,17,57,74,69
63,Mike Green,DET,D,43.69230769230769,64.92307692307693,59.07692307692308,31.384615384615383,43,5,21,26,28
67,Alex Goligoski,ARI,D,76.0,74.15384615384616,87.07692307692308,26.153846153846157,76,3,24,27,16
69,Andrej Sekera,EDM,D,58.15384615384615,34.15384615384615,75.07692307692308,76.3076923076923,24,0,4,4,6
70,Alexander Edler,VAN,D,39.38461538461539,31.692307692307693,51.38461538461539,72.92307692307692,56,10,24,34,54
72,Roman Polak,DAL,D,4.923076923076923,8.307692307692308,28.000000000000004,20.615384615384617,77,1,8,9,69
74,Matt Hunwick,BUF,D,8.615384615384615,21.846153846153847,19.692307692307693,2.4615384615384617,14,0,2,2,4
80,Jack Johnson,PIT,D,2.4615384615384617,9.230769230769232,8.615384615384615,6.769230769230769,82,1,12,13,41
82,Marc Staal,NYR,D,23.384615384615383,30.153846153846153,44.61538461538462,32.0,79,3,10,13,32
86,Matt Niskanen,WSH,D,22.76923076923077,50.46153846153846,10.76923076923077,45.84615384615385,80,8,17,25,41
88,Marc-Edouard Vlasic,S.J,D,70.15384615384616,85.23076923076923,29.846153846153843,4.923076923076923,72,3,22,25,10
90,Adam McQuaid,"CBJ, NYR",D,9.846153846153847,9.846153846153847,22.76923076923077,37.84615384615385,50,3,4,7,42
91,Kris Letang,PIT,D,92.61538461538461,81.84615384615384,98.76923076923076,59.692307692307686,65,16,40,56,48
92,Kris Russell,EDM,D,25.23076923076923,30.76923076923077,27.692307692307693,33.84615384615385,72,3,13,16,27
93,Keith Yandle,FLA,D,42.15384615384615,48.30769230769231,89.84615384615384,10.153846153846153,82,9,53,62,50
95,Chris Butler,STL,D,99.38461538461539,99.6923076923077,85.84615384615385,89.84615384615384,13,1,1,2,0
97,Niklas Hjalmarsson,ARI,D,24.615384615384617,6.153846153846154,28.307692307692307,89.53846153846153,82,0,10,10,44
100,Anton Stralman,T.B,D,91.38461538461539,95.38461538461539,40.0,25.538461538461537,47,2,15,17,8
102,Dan Girardi,T.B,D,62.46153846153846,76.3076923076923,62.153846153846146,14.76923076923077,62,4,12,16,12
103,Andy Greene,N.J,D,52.92307692307693,77.84615384615384,67.07692307692308,6.153846153846154,82,5,20,25,16
106,Alex Biega,VAN,D,79.38461538461539,66.15384615384615,93.53846153846153,46.76923076923077,41,2,14,16,22
109,Erik Johnson,COL,D,37.230769230769226,55.38461538461539,44.0,17.23076923076923,80,7,18,25,38
114,Eric Gryba,N.J,D,24.0,8.923076923076923,26.153846153846157,81.23076923076923,10,0,0,0,10
118,Jeff Petry,MTL,D,75.6923076923077,80.92307692307692,87.38461538461539,17.53846153846154,82,13,33,46,28
125,Korbinian Holzer,ANA,D,34.76923076923077,31.384615384615383,52.0,44.0,22,1,3,4,8
129,Andrew MacDonald,PHI,D,33.53846153846154,38.76923076923077,34.46153846153846,53.53846153846153,47,0,9,9,18
133,David Schlemko,MTL,D,68.61538461538461,54.46153846153846,78.76923076923077,77.23076923076924,18,0,2,2,4
135,Ben Lovejoy,"DAL, N.J",D,26.153846153846157,28.307692307692307,35.69230769230769,56.00000000000001,71,2,7,9,37
137,Karl Alzner,MTL,D,35.07692307692308,42.46153846153846,6.461538461538462,87.07692307692308,9,0,1,1,2
138,Justin Falk,OTT,D,2.769230769230769,3.3846153846153846,4.3076923076923075,80.0,10,0,0,0,11
140,Steven Kampfer,BOS,D,29.846153846153843,26.769230769230766,54.46153846153846,24.0,35,3,3,6,20
143,Ian Cole,COL,D,23.692307692307693,12.923076923076923,47.38461538461539,51.38461538461539,71,2,13,15,115
145,Justin Braun,S.J,D,17.53846153846154,28.615384615384613,2.769230769230769,61.23076923076923,78,2,14,16,35
146,Kevin Shattenkirk,NYR,D,79.6923076923077,71.38461538461539,73.84615384615385,77.84615384615384,73,2,26,28,20
152,P.K. Subban,NSH,D,56.61538461538461,51.07692307692307,80.61538461538461,29.230769230769234,63,9,22,31,60
155,Thomas Hickey,NYI,D,32.92307692307692,11.384615384615385,59.692307692307686,58.769230769230774,40,0,4,4,33
158,Brendan Smith,NYR,D,46.15384615384615,48.92307692307693,50.153846153846146,63.38461538461539,63,4,9,13,71
162,Carl Gunnarsson,STL,D,69.84615384615384,67.07692307692308,83.07692307692308,49.84615384615385,25,3,4,7,6
164,Yannick Weber,NSH,D,40.92307692307692,43.38461538461538,33.53846153846154,44.92307692307692,62,2,6,8,18
166,Robert Bortuzzo,STL,D,53.230769230769226,41.23076923076923,76.0,57.84615384615385,59,2,8,10,47
169,Ryan McDonagh,T.B,D,67.07692307692308,70.15384615384616,66.46153846153847,28.000000000000004,82,9,37,46,34
172,Jake Muzzin,"L.A, TOR",D,72.92307692307692,62.153846153846146,95.38461538461539,55.69230769230769,80,9,28,37,47
173,Alec Martinez,L.A,D,88.61538461538461,85.84615384615385,89.23076923076924,12.615384615384615,60,4,14,18,8
177,Nick Holden,VGK,D,72.3076923076923,75.07692307692308,70.15384615384616,42.46153846153846,61,3,12,15,14
178,Jason Demers,ARI,D,31.076923076923073,35.07692307692308,45.230769230769226,81.53846153846153,35,2,6,8,12
182,Jason Garrison,EDM,D,5.538461538461538,6.769230769230769,34.15384615384615,31.076923076923073,17,1,0,1,8
183,Drew Doughty,L.A,D,18.76923076923077,25.846153846153847,17.53846153846154,59.38461538461538,82,8,37,45,44
185,Alex Pietrangelo,STL,D,70.76923076923077,76.92307692307693,94.15384615384616,18.153846153846153,71,13,28,41,22
186,Zach Bogosian,BUF,D,31.692307692307693,19.692307692307693,67.38461538461539,28.307692307692307,65,3,16,19,52
187,Luke Schenn,"ANA, VAN",D,11.692307692307692,20.307692307692307,8.923076923076923,75.38461538461539,26,0,2,2,16
191,Tyler Myers,WPG,D,47.38461538461539,60.0,70.76923076923077,21.846153846153847,80,9,22,31,63
192,Erik Karlsson,S.J,D,87.38461538461539,76.0,98.15384615384616,44.30769230769231,53,3,42,45,22
193,Luca Sbisa,NYI,D,28.615384615384613,24.615384615384617,26.461538461538463,95.07692307692308,9,0,1,1,4
194,Jake Gardiner,TOR,D,63.38461538461539,53.84615384615385,80.3076923076923,42.15384615384615,62,3,27,30,26
195,Michael Del Zotto,"ANA, STL, VAN",D,87.07692307692308,82.76923076923077,79.6923076923077,35.07692307692308,42,1,9,10,8
198,John Carlson,WSH,D,84.61538461538461,78.46153846153847,99.07692307692308,12.307692307692308,80,13,57,70,34
199,Cody Goloubef,OTT,D,4.3076923076923075,4.0,30.153846153846153,78.15384615384615,5,0,0,0,2
