Id,Player,Team,Position,Overall%,Individual%,Offensive%,Defensive%,GP,Goals,Assists,Points,PIM
1,Jaromir Jagr,PHI,R,73.70184254606366,65.32663316582915,82.91457286432161,43.21608040201005,73,19,35,54,30
3,Teemu Selanne,ANA,R,44.221105527638194,46.231155778894475,69.84924623115577,36.01340033500838,82,26,40,66,50
4,Brian Rolston,"BOS, NYI",R,60.63651591289783,65.82914572864321,34.67336683417086,77.21943048576215,70,7,17,24,14
5,Ray Whitney,PHX,L,90.78726968174205,80.23450586264657,93.1323283082077,75.20938023450586,82,24,53,77,28
7,Mike Knuble,WSH,R,16.415410385259634,27.470686767169177,26.968174204355112,29.313232830820766,72,6,12,18,32
13,Jason Arnott,STL,C,65.9966499162479,53.09882747068677,73.53433835845897,46.733668341708544,72,17,17,34,26
14,Saku Koivu,ANA,C,50.753768844221106,34.33835845896148,80.73701842546063,47.73869346733669,74,11,27,38,50
15,Todd Bertuzzi,DET,R,51.42378559463987,41.20603015075377,56.951423785594635,58.96147403685092,71,14,24,38,64
16,Jay Pandolfo,NYI,L,53.43383584589615,81.23953098827471,5.025125628140704,65.15912897822446,62,1,2,3,8
17,Jamie Langenbrunner,STL,R,61.13902847571189,42.211055276381906,80.06700167504187,47.90619765494137,70,6,18,24,32
18,Brendan Morrison,"CGY, CHI",C,24.958123953098827,29.48073701842546,32.99832495812395,42.88107202680067,39,4,7,11,12
19,Vinny Prospal,CBJ,L,65.49413735343383,46.06365159128978,97.82244556113902,14.74036850921273,82,16,39,55,36
20,Jamal Mayers,CHI,R,18.425460636515915,22.110552763819097,18.257956448911223,68.00670016750419,81,6,9,15,91
21,Andrew Brunette,CHI,L,82.07705192629817,92.46231155778895,37.68844221105528,4.522613065326634,78,12,15,27,4
24,Scott Nichol,STL,C,8.877721943048575,8.207705192629817,10.720268006700168,69.5142378559464,80,3,5,8,83
25,Petr Sykora,N.J,R,64.82412060301507,58.458961474036855,76.38190954773869,41.70854271356784,82,21,23,44,40
27,Ryan Smyth,EDM,L,44.89112227805695,53.936348408710224,63.14907872696818,23.283082077051926,82,19,27,46,80
28,Ethan Moreau,L.A,L,5.527638190954774,13.06532663316583,10.385259631490786,42.3785594639866,28,1,3,4,20
29,Richard Park,PIT,R,24.288107202680067,35.5108877721943,20.603015075376884,30.98827470686767,54,7,7,14,12
30,Patrik Elias,N.J,C,88.2747068676717,83.24958123953098,71.69179229480737,42.211055276381906,81,26,52,78,16
32,Milan Hejduk,COL,R,73.53433835845897,84.42211055276381,60.46901172529313,18.927973199329983,81,14,23,37,14
33,Daniel Alfredsson,OTT,R,89.61474036850922,80.40201005025126,68.34170854271356,77.72194304857621,75,27,32,59,18
35,Steve Sullivan,PIT,L,63.98659966499163,72.36180904522614,82.74706867671692,10.385259631490786,79,17,31,48,20
36,Eric Boulton,N.J,L,1.0050251256281406,1.340033500837521,3.015075376884422,25.963149078726964,51,0,0,0,115
37,Tomas Holmstrom,DET,L,8.040201005025125,12.73031825795645,10.887772194304858,38.860971524288104,74,11,13,24,40
38,Daymond Langkow,PHX,C,78.05695142378559,75.20938023450586,56.78391959798995,78.72696817420436,73,11,19,30,14
39,Shane Doan,PHX,R,63.484087102177554,56.44891122278057,72.8643216080402,50.083752093802346,79,22,28,50,48
40,Radek Dvorak,DAL,R,34.17085427135678,62.8140703517588,31.490787269681743,7.705192629815745,73,4,17,21,12
41,Jarome Iginla,CGY,R,53.768844221105525,70.85427135678391,70.68676716917923,2.3450586264656614,82,32,35,67,43
42,Jochen Hecht,BUF,C,61.30653266331658,74.7068676716918,60.971524288107204,62.311557788944725,22,4,4,8,6
43,Michal Handzus,S.J,C,42.04355108877722,70.18425460636516,15.07537688442211,11.055276381909549,67,7,17,24,18
46,Jody Shelley,PHI,L,10.050251256281408,12.227805695142377,4.1876046901172534,62.6465661641541,30,0,1,1,64
49,Marty Reasoner,NYI,C,11.557788944723619,15.577889447236181,11.390284757118927,37.85594639865997,61,1,5,6,34
50,Daniel Briere,PHI,C,41.70854271356784,44.0536013400335,58.12395309882747,45.22613065326633,70,16,33,49,69
51,Dainius Zubrus,N.J,C,44.72361809045226,32.49581239530988,54.60636515912898,53.266331658291456,82,17,27,44,32
52,Marco Sturm,"FLA, VAN",L,39.53098827470687,21.775544388609717,54.438860971524285,57.6214405360134,48,3,2,5,25
54,Josh Green,EDM,C,48.91122278056951,37.85594639865997,73.36683417085426,81.74204355108877,7,1,1,2,7
55,Matt Cullen,MIN,C,73.36683417085426,59.96649916247906,83.58458961474037,55.27638190954774,73,14,21,35,24
58,Arron Asham,PIT,R,11.222780569514237,16.917922948073702,12.227805695142377,45.89614740368509,64,5,11,16,76
60,Eric Belanger,EDM,C,20.100502512562816,23.953098827470686,36.68341708542713,12.897822445561138,78,4,12,16,30
61,Trent Whitfield,BOS,C,92.46231155778895,91.12227805695142,81.23953098827471,99.66499162479062,1,0,0,0,0
63,Matt Bradley,FLA,R,3.6850921273031827,6.532663316582915,13.90284757118928,56.28140703517588,45,3,5,8,31
65,Craig Adams,PIT,R,24.455611390284755,28.643216080402013,7.705192629815745,80.56951423785594,82,5,13,18,34
67,Samuel Pahlsson,"CBJ, VAN",C,26.298157453936348,31.155778894472363,23.618090452261306,73.86934673366834,80,4,13,17,34
